Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,PartLargestBag.error_status,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.007973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1603260869565217,1.0,3,0.40816326530612246,0.0,20,319,2,0.061224489795918366,0.0,3,0,0.0,0.0,0,12,1.7551020408163265,1.0,86,1,0.30612244897959184,0.0,15,Partition(BranchingPartition),success,0.023145,none,368,HTD,,0.026226,18,,,,,,,none,PartitionTreedec,0.059287
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.008528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1494565217391304,1.0,4,0.6326530612244898,0.0,31,319,0,0.0,0.0,0,0,0.0,0.0,0,15,3.306122448979592,1.0,162,0,0.0,0.0,0,Partition(BranchingPartition),success,0.025304,none,368,HTD,,0.034132,18,,,,,,,none,PartitionTreedec,0.06987
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.008822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1494565217391304,1.0,4,0.5510204081632653,0.0,27,319,0,0.0,0.0,0,2,0.08163265306122448,0.0,4,15,3.061224489795918,1.0,150,0,0.0,0.0,0,Partition(BranchingPartition),success,0.024829,none,368,HTD,,0.013835,18,,,,,,,none,PartitionTreedec,0.049335
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1271 type=girg,,2486,481,500,GirgGen,0.009013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,7.076815597050831,1.1494565217391304,1.0,3,0.40816326530612246,0.0,20,319,2,0.14285714285714285,0.0,7,2,0.08163265306122448,0.0,4,12,2.63265306122449,1.0,129,0,0.0,0.0,0,Partition(BranchingPartition),success,0.024484,none,368,HTD,,0.014096,18,,,,,,,none,PartitionTreedec,0.049506
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.021908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1196808510638299,1.0,2,0.23076923076923078,0.0,9,337,0,0.0,0.0,0,0,0.0,0.0,0,9,1.5128205128205128,1.0,59,1,0.1282051282051282,0.0,5,Partition(BranchingPartition),success,0.020979,none,376,HTD,,0.017854,12,,,,,,,none,PartitionTreedec,0.062761
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.007905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1196808510638299,1.0,2,0.23076923076923078,0.0,9,337,0,0.0,0.0,0,0,0.0,0.0,0,9,1.5128205128205128,1.0,59,1,0.1282051282051282,0.0,5,Partition(BranchingPartition),success,0.02021,none,376,HTD,,0.013123,12,,,,,,,none,PartitionTreedec,0.043101
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.007605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1196808510638299,1.0,1,0.1794871794871795,0.0,7,337,1,0.05128205128205128,0.0,2,0,0.0,0.0,0,6,1.358974358974359,1.0,53,1,0.1282051282051282,0.0,5,Partition(BranchingPartition),success,0.020461,none,376,HTD,,0.021071,12,,,,,,,none,PartitionTreedec,0.05104
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.007915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1143617021276595,1.0,2,0.23076923076923078,0.0,9,337,0,0.0,0.0,0,0,0.0,0.0,0,9,1.7692307692307692,1.0,69,0,0.0,0.0,0,Partition(BranchingPartition),success,0.032169,none,376,HTD,,0.01273,12,,,,,,,none,PartitionTreedec,0.054678
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.00807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1143617021276595,1.0,2,0.23076923076923078,0.0,9,337,0,0.0,0.0,0,0,0.0,0.0,0,9,1.7692307692307692,1.0,69,0,0.0,0.0,0,Partition(BranchingPartition),success,0.020366,none,376,HTD,,0.013851,12,,,,,,,none,PartitionTreedec,0.044192
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1272 type=girg,,2377,476,500,GirgGen,0.008022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.044394119358453,1.1143617021276595,1.0,1,0.1794871794871795,0.0,7,337,1,0.05128205128205128,0.0,2,0,0.0,0.0,0,6,1.6153846153846154,1.0,63,0,0.0,0.0,0,Partition(BranchingPartition),success,0.020449,none,376,HTD,,0.013722,12,,,,,,,none,PartitionTreedec,0.04409
