Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,DD_g930,735,239,,ReadEL,0.004051,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,24.094737505048094,4.614525139664805,4.0,Partition(FastLargestClique),0.033717,5,179,HTD,0.009487,27,,,,,,PartitionTreedec,0.047481
,,,,,,,DD_g931,663,221,,ReadEL,0.002166,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19.509775004326936,4.460606060606061,3.0,Partition(FastLargestClique),0.031564,5,165,HTD,0.009502,23,,,,,,PartitionTreedec,0.043444
,,,,,,,DD_g932,361,145,,ReadEL,0.017369,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.339850002884624,3.0338983050847457,3.0,Partition(FastLargestClique),0.018724,4,118,HTD,0.006315,13,,,,,,PartitionTreedec,0.04263
,,,,,,,DD_g933,354,128,,ReadEL,0.011949,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.754887502163468,3.202020202020202,3.0,Partition(FastLargestClique),0.020063,5,99,HTD,0.009433,14,,,,,,PartitionTreedec,0.041651
,,,,,,,DD_g934,710,301,,ReadEL,0.002727,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.754887502163468,2.5668016194331984,2.0,Partition(FastLargestClique),0.037833,5,247,HTD,0.009209,10,,,,,,PartitionTreedec,0.052257
,,,,,,,DD_g935,660,213,,ReadEL,0.001757,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,17.339850002884624,4.050955414012739,3.0,Partition(FastLargestClique),0.029432,5,157,HTD,0.012316,20,,,,,,PartitionTreedec,0.043714
,,,,,,,DD_g936,395,151,,ReadEL,0.017146,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.92481250360578,3.283333333333333,3.0,Partition(FastLargestClique),0.019824,5,120,HTD,0.012798,16,,,,,,PartitionTreedec,0.049989
,,,,,,,DD_g937,314,132,,ReadEL,0.001516,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,1.71,2.0,Partition(FastLargestClique),0.009685,5,100,HTD,0.006129,5,,,,,,PartitionTreedec,0.017532
,,,,,,,DD_g938,251,107,,ReadEL,0.003772,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.321928094887362,2.4302325581395348,2.0,Partition(FastLargestClique),0.012558,4,86,HTD,0.005479,7,,,,,,PartitionTreedec,0.022019
,,,,,,,DD_g939,595,243,,ReadEL,0.002074,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14.509775004326936,3.3316326530612246,3.0,Partition(FastLargestClique),0.032386,5,196,HTD,0.008738,16,,,,,,PartitionTreedec,0.043413
