Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,DD_g869,173,91,,ReadEL,0.010556,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.754887502163468,2.5949367088607596,2.0,Partition(FastLargestClique),0.012287,4,79,HTD,0.023669,7,,,,,,PartitionTreedec,0.046714
,,,,,,,DD_g86,579,255,,ReadEL,0.002647,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,3.063106796116505,2.0,Partition(FastLargestClique),0.031013,5,206,HTD,0.009792,15,,,,,,PartitionTreedec,0.043673
,,,,,,,DD_g870,407,185,,ReadEL,0.00544,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,2.6241610738255035,2.0,Partition(FastLargestClique),0.022093,5,149,HTD,0.009639,10,,,,,,PartitionTreedec,0.037395
,,,,,,,DD_g871,295,138,,ReadEL,0.001493,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.754887502163468,2.763157894736842,2.0,Partition(FastLargestClique),0.017381,4,114,HTD,0.013922,8,,,,,,PartitionTreedec,0.033017
,,,,,,,DD_g872,490,211,,ReadEL,0.006328,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.584962500721156,2.6432748538011697,2.0,Partition(FastLargestClique),0.025325,5,171,HTD,0.007446,12,,,,,,PartitionTreedec,0.039314
,,,,,,,DD_g873,713,259,,ReadEL,0.011323,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.754887502163468,3.0295566502463056,3.0,Partition(FastLargestClique),0.03244,5,203,HTD,0.008751,14,,,,,,PartitionTreedec,0.052726
,,,,,,,DD_g874,1108,508,,ReadEL,0.005114,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.339850002884624,2.7041284403669725,2.0,Partition(FastLargestClique),0.495516,5,436,HTD,0.159556,11,,,,,,PartitionTreedec,0.660464
,,,,,,,DD_g875,139,65,,ReadEL,0.012592,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.169925001442312,2.0392156862745097,2.0,Partition(FastLargestClique),0.006792,5,51,HTD,0.004873,5,,,,,,PartitionTreedec,0.024468
,,,,,,,DD_g876,127,58,,ReadEL,0.001897,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5.584962500721156,2.25,2.0,Partition(FastLargestClique),0.006644,5,48,HTD,0.005517,5,,,,,,PartitionTreedec,0.014269
,,,,,,,DD_g877,960,315,,ReadEL,0.016125,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,19.094737505048094,3.236,3.0,Partition(FastLargestClique),0.038628,5,250,HTD,0.010897,24,,,,,,PartitionTreedec,0.065944
,,,,,,,DD_g878,232,98,,ReadEL,0.003701,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.814814814814815,3.0,Partition(FastLargestClique),0.013183,4,81,HTD,0.006229,8,,,,,,PartitionTreedec,0.023336
,,,,,,,DD_g879,163,73,,ReadEL,0.011213,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.584962500721156,2.2711864406779663,2.0,Partition(FastLargestClique),0.009243,4,59,HTD,0.007248,5,,,,,,PartitionTreedec,0.027912
,,,,,,,DD_g87,666,291,,ReadEL,0.002112,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.169925001442312,2.8502024291497974,2.0,Partition(FastLargestClique),0.036447,5,247,HTD,0.008266,15,,,,,,PartitionTreedec,0.047046
,,,,,,,DD_g880,1600,569,,ReadEL,0.003639,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.169925001442312,2.976394849785408,2.0,Partition(FastLargestClique),0.071427,5,466,HTD,0.017416,14,,,,,,PartitionTreedec,0.092766
,,,,,,,DD_g881,353,160,,ReadEL,0.003096,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,3.3157894736842106,3.0,Partition(FastLargestClique),0.02116,4,133,HTD,0.007062,12,,,,,,PartitionTreedec,0.031528
,,,,,,,DD_g882,717,353,,ReadEL,0.001923,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.169925001442312,2.911184210526316,2.0,Partition(FastLargestClique),0.04421,5,304,HTD,0.010674,11,,,,,,PartitionTreedec,0.057033
,,,,,,,DD_g883,1172,421,,ReadEL,0.017502,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16.094737505048094,2.8996960486322187,2.0,Partition(FastLargestClique),0.347749,5,329,HTD,0.285832,19,,,,,,PartitionTreedec,0.651339
,,,,,,,DD_g884,717,229,,ReadEL,0.002063,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,2.8554913294797686,2.0,Partition(FastLargestClique),0.027227,5,173,HTD,0.015045,12,,,,,,PartitionTreedec,0.044545
,,,,,,,DD_g885,551,224,,ReadEL,0.003138,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.169925001442312,3.1818181818181817,3.0,Partition(FastLargestClique),0.029763,5,176,HTD,0.009058,15,,,,,,PartitionTreedec,0.042164
,,,,,,,DD_g886,593,254,,ReadEL,0.003654,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.754887502163468,2.70873786407767,2.0,Partition(FastLargestClique),0.031673,5,206,HTD,0.00696,9,,,,,,PartitionTreedec,0.0425
,,,,,,,DD_g887,943,401,,ReadEL,0.038747,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.754887502163468,2.6932515337423313,2.0,Partition(FastLargestClique),0.048201,5,326,HTD,0.014894,10,,,,,,PartitionTreedec,0.102112
,,,,,,,DD_g888,1234,530,,ReadEL,0.005752,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.754887502163468,3.167420814479638,2.0,Partition(FastLargestClique),0.065635,5,442,HTD,0.014167,17,,,,,,PartitionTreedec,0.085834
,,,,,,,DD_g889,1345,576,,ReadEL,0.005333,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15.339850002884624,2.8227848101265822,2.0,Partition(FastLargestClique),0.106396,5,474,HTD,0.19207,17,,,,,,PartitionTreedec,0.304102
,,,,,,,DD_g88,183,95,,ReadEL,0.023338,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.584962500721156,2.2439024390243905,2.0,Partition(FastLargestClique),0.011595,4,82,HTD,0.005111,5,,,,,,PartitionTreedec,0.040242
,,,,,,,DD_g890,503,188,,ReadEL,0.02657,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.584962500721156,2.642384105960265,2.0,Partition(FastLargestClique),0.023521,5,151,HTD,0.009103,10,,,,,,PartitionTreedec,0.059402
,,,,,,,DD_g891,192,91,,ReadEL,0.001214,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.169925001442312,2.56,2.0,Partition(FastLargestClique),0.010018,5,75,HTD,0.005079,8,,,,,,PartitionTreedec,0.016519
,,,,,,,DD_g892,535,238,,ReadEL,0.006481,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.584962500721156,3.1025641025641026,3.0,Partition(FastLargestClique),0.032747,5,195,HTD,0.019797,10,,,,,,PartitionTreedec,0.059242
,,,,,,,DD_g893,494,218,,ReadEL,0.001866,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.169925001442312,2.401098901098901,2.0,Partition(FastLargestClique),0.026035,5,182,HTD,0.012202,8,,,,,,PartitionTreedec,0.040315
,,,,,,,DD_g894,144,65,,ReadEL,0.001147,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.754887502163468,2.392156862745098,2.0,Partition(FastLargestClique),0.007301,4,51,HTD,0.009318,7,,,,,,PartitionTreedec,0.017986
,,,,,,,DD_g895,306,115,,ReadEL,0.005696,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.3956043956043955,2.0,Partition(FastLargestClique),0.013108,5,91,HTD,0.008722,8,,,,,,PartitionTreedec,0.027735
,,,,,,,DD_g896,168,76,,ReadEL,0.006189,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.169925001442312,2.1384615384615384,2.0,Partition(FastLargestClique),0.008107,4,65,HTD,0.005687,6,,,,,,PartitionTreedec,0.02021
,,,,,,,DD_g897,468,217,,ReadEL,0.005349,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.92481250360578,3.0607734806629834,3.0,Partition(FastLargestClique),0.028842,4,181,HTD,0.007113,12,,,,,,PartitionTreedec,0.041516
,,,,,,,DD_g898,574,223,,ReadEL,0.024983,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9.169925001442312,2.3714285714285714,2.0,Partition(FastLargestClique),0.025927,5,175,HTD,0.02294,11,,,,,,PartitionTreedec,0.074054
,,,,,,,DD_g899,313,144,,ReadEL,0.016124,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.169925001442312,2.6083333333333334,2.0,Partition(FastLargestClique),0.01809,5,120,HTD,0.007652,7,,,,,,PartitionTreedec,0.042082
,,,,,,,DD_g89,966,388,,ReadEL,0.029393,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,19.339850002884624,3.3474025974025974,3.0,Partition(FastLargestClique),0.046608,5,308,HTD,0.011572,20,,,,,,PartitionTreedec,0.087824
,,,,,,,DD_g8,1406,503,,ReadEL,0.003677,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,24.264662506490403,3.770618556701031,3.0,Partition(FastLargestClique),0.295446,5,388,HTD,0.192898,27,,,,,,PartitionTreedec,0.492324
,,,,,,,DD_g900,266,100,,ReadEL,0.002906,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.339850002884624,2.9746835443037973,3.0,Partition(FastLargestClique),0.013263,4,79,HTD,0.005507,9,,,,,,PartitionTreedec,0.02189
,,,,,,,DD_g901,620,263,,ReadEL,0.011677,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.584962500721156,2.25,2.0,Partition(FastLargestClique),0.026563,5,208,HTD,0.009451,8,,,,,,PartitionTreedec,0.047911
,,,,,,,DD_g902,694,240,,ReadEL,0.004583,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.92481250360578,2.648936170212766,2.0,Partition(FastLargestClique),0.048296,5,188,HTD,0.00735,11,,,,,,PartitionTreedec,0.060442
,,,,,,,DD_g903,117,46,,ReadEL,0.015451,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.321928094887362,1.3448275862068966,1.0,Partition(FastLargestClique),0.002296,5,29,HTD,0.009156,4,,,,,,PartitionTreedec,0.02711
,,,,,,,DD_g904,136,68,,ReadEL,0.01873,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.584962500721156,2.2545454545454544,2.0,Partition(FastLargestClique),0.007907,4,55,HTD,0.005838,5,,,,,,PartitionTreedec,0.032682
,,,,,,,DD_g905,467,192,,ReadEL,0.001502,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.754887502163468,2.264516129032258,2.0,Partition(FastLargestClique),0.03605,5,155,HTD,0.006866,6,,,,,,PartitionTreedec,0.044626
,,,,,,,DD_g906,320,140,,ReadEL,0.012513,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.169925001442312,2.044642857142857,2.0,Partition(FastLargestClique),0.013528,5,112,HTD,0.005562,7,,,,,,PartitionTreedec,0.031816
,,,,,,,DD_g907,158,74,,ReadEL,0.020411,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.584962500721156,2.4918032786885247,2.0,Partition(FastLargestClique),0.008979,4,61,HTD,0.01099,6,,,,,,PartitionTreedec,0.040589
,,,,,,,DD_g908,509,123,,ReadEL,0.00418,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17.1357092861044,4.224719101123595,3.0,Partition(FastLargestClique),0.018268,6,89,HTD,0.006745,25,,,,,,PartitionTreedec,0.029409
,,,,,,,DD_g909,1033,372,,ReadEL,0.002358,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19.094737505048094,3.5590277777777777,3.0,Partition(FastLargestClique),0.043445,5,288,HTD,0.012011,21,,,,,,PartitionTreedec,0.05807
,,,,,,,DD_g90,1159,504,,ReadEL,0.002925,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,2.6770334928229667,2.0,Partition(FastLargestClique),0.144636,5,418,HTD,0.165789,10,,,,,,PartitionTreedec,0.313614
,,,,,,,DD_g910,610,227,,ReadEL,0.003496,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.169925001442312,2.505434782608696,2.0,Partition(FastLargestClique),0.026941,5,184,HTD,0.007186,8,,,,,,PartitionTreedec,0.037838
,,,,,,,DD_g911,473,182,,ReadEL,0.00135,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.169925001442312,2.2836879432624113,2.0,Partition(FastLargestClique),0.019248,5,141,HTD,0.015141,6,,,,,,PartitionTreedec,0.035958
,,,,,,,DD_g912,342,139,,ReadEL,0.003179,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.0,2.226086956521739,2.0,Partition(FastLargestClique),0.015331,5,115,HTD,0.007702,6,,,,,,PartitionTreedec,0.026428
,,,,,,,DD_g913,292,112,,ReadEL,0.002118,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.906890595608518,2.3333333333333335,2.0,Partition(FastLargestClique),0.01265,5,87,HTD,0.005532,9,,,,,,PartitionTreedec,0.020511
,,,,,,,DD_g914,176,72,,ReadEL,0.001493,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.754887502163468,2.4339622641509435,2.0,Partition(FastLargestClique),0.007611,5,53,HTD,0.006272,7,,,,,,PartitionTreedec,0.01558
,,,,,,,DD_g915,683,295,,ReadEL,0.009238,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.92481250360578,3.1316872427983538,2.0,Partition(FastLargestClique),0.038405,5,243,HTD,0.008258,15,,,,,,PartitionTreedec,0.056119
,,,,,,,DD_g916,133,59,,ReadEL,0.004656,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.339850002884624,2.217391304347826,2.0,Partition(FastLargestClique),0.005981,4,46,HTD,0.004708,8,,,,,,PartitionTreedec,0.015574
,,,,,,,DD_g917,546,262,,ReadEL,0.005738,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.754887502163468,2.9727272727272727,3.0,Partition(FastLargestClique),0.033834,4,220,HTD,0.00912,10,,,,,,PartitionTreedec,0.048903
,,,,,,,DD_g918,445,181,,ReadEL,0.003126,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.339850002884624,3.0072992700729926,2.0,Partition(FastLargestClique),0.034003,5,137,HTD,0.02889,14,,,,,,PartitionTreedec,0.066229
,,,,,,,DD_g919,452,212,,ReadEL,0.001469,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.584962500721156,2.621468926553672,2.0,Partition(FastLargestClique),0.025707,4,177,HTD,0.006679,8,,,,,,PartitionTreedec,0.03407
,,,,,,,DD_g91,794,336,,ReadEL,0.013444,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14.754887502163468,2.916967509025271,2.0,Partition(FastLargestClique),0.04122,5,277,HTD,0.008277,16,,,,,,PartitionTreedec,0.063159
,,,,,,,DD_g920,503,237,,ReadEL,0.003193,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.754887502163468,2.51010101010101,2.0,Partition(FastLargestClique),0.026166,5,198,HTD,0.006782,11,,,,,,PartitionTreedec,0.036355
,,,,,,,DD_g921,223,74,,ReadEL,0.002431,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11.339850002884624,3.358490566037736,3.0,Partition(FastLargestClique),0.009529,5,53,HTD,0.005357,13,,,,,,PartitionTreedec,0.017529
,,,,,,,DD_g922,187,91,,ReadEL,0.00849,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.0,2.164383561643836,2.0,Partition(FastLargestClique),0.009267,5,73,HTD,0.00635,6,,,,,,PartitionTreedec,0.02431
,,,,,,,DD_g923,850,339,,ReadEL,0.003254,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.0,2.390334572490706,2.0,Partition(FastLargestClique),0.038834,5,269,HTD,0.011427,7,,,,,,PartitionTreedec,0.053722
,,,,,,,DD_g924,288,111,,ReadEL,0.003693,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.339850002884624,2.7088607594936707,2.0,Partition(FastLargestClique),0.012991,5,79,HTD,0.014305,9,,,,,,PartitionTreedec,0.031197
,,,,,,,DD_g925,239,79,,ReadEL,0.009859,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.321928094887362,1.044776119402985,1.0,Partition(FastLargestClique),0.001923,5,67,HTD,0.00562,4,,,,,,PartitionTreedec,0.017604
,,,,,,,DD_g926,577,250,,ReadEL,0.001767,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.584962500721156,2.412621359223301,2.0,Partition(FastLargestClique),0.028543,5,206,HTD,0.007679,9,,,,,,PartitionTreedec,0.038208
,,,,,,,DD_g927,280,140,,ReadEL,0.019966,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.3983739837398375,2.0,Partition(FastLargestClique),0.018395,4,123,HTD,0.009628,8,,,,,,PartitionTreedec,0.048196
,,,,,,,DD_g928,535,221,,ReadEL,0.010045,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.584962500721156,2.793296089385475,2.0,Partition(FastLargestClique),0.027781,5,179,HTD,0.00671,9,,,,,,PartitionTreedec,0.044748
,,,,,,,DD_g929,414,184,,ReadEL,0.002143,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.169925001442312,3.0067114093959733,2.0,Partition(FastLargestClique),0.022412,5,149,HTD,0.007879,12,,,,,,PartitionTreedec,0.032641
,,,,,,,DD_g92,810,361,,ReadEL,0.037498,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16.75488750216347,2.909090909090909,2.0,Partition(FastLargestClique),0.045238,5,297,HTD,0.014391,18,,,,,,PartitionTreedec,0.097355
