n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
684,seed=708 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,301,699,684,301,301,2.272425249169435,14,2,1,22,0.084853,0.006661,0.000914,0.001616,0.075662
670,seed=709 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,289,677,670,289,289,2.3183391003460208,11,2,1,19,0.074845,0.00496,0.000825,0.001401,0.067659
678,seed=699 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,292,689,678,292,292,2.3219178082191783,11,2.0,1,30,0.090327,0.006535,0.000905,0.001628,0.081259
671,seed=700 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,292,693,671,292,292,2.297945205479452,12,2.0,1,32,0.07508,0.005422,0.00084,0.001477,0.067341
675,seed=701 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,307,707,675,307,307,2.198697068403909,14,2,1,20,0.079816,0.007514,0.000915,0.001568,0.069819
680,seed=702 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,311,723,680,311,311,2.1864951768488745,13,2,1,28,0.100701,0.007192,0.000961,0.001739,0.090809
623,seed=703 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,273,648,623,273,273,2.282051282051282,9,2,1,24,0.067791,0.004611,0.000776,0.00131,0.061094
681,seed=704 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,312,729,681,312,312,2.1826923076923075,13,2.0,1,23,0.101652,0.007165,0.000909,0.001721,0.091857
664,seed=705 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,296,689,664,296,296,2.2432432432432434,12,2.0,1,26,0.080757,0.005641,0.000835,0.001487,0.072794
684,seed=706 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,324,745,684,324,324,2.111111111111111,16,1.5,1,29,0.120402,0.009307,0.001092,0.001946,0.108057
673,seed=707 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,293,694,673,293,293,2.2969283276450514,11,2,1,38,0.102689,0.006643,0.000891,0.001797,0.093358
681,seed=708 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,310,717,681,310,310,2.196774193548387,13,2.0,1,26,0.098067,0.007987,0.001028,0.001797,0.087255
660,seed=709 alpha=0.75 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,299,695,660,299,299,2.2073578595317724,10,2,1,24,0.077357,0.005758,0.000861,0.001516,0.069222
688,seed=699 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,235,588,688,235,235,2.927659574468085,11,2,1,24,0.06732,0.005006,0.00078,0.001311,0.060223
684,seed=700 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,231,583,684,231,231,2.961038961038961,13,2,1,20,0.058209,0.004278,0.000786,0.001208,0.051937
